ststes,x,y
Andhra Pradesh,-53,-172
Arunachal Pradesh,269,127
Assam,239,75
Bihar,90,60
Chhattisgarh,4,-36
Goa,-155,-165
Gujarat,-209,-13
Haryana,-105,139
Himachal Pradesh,-94,211
Jharkhand,72,14
Jammu Kashmir,-107.0,274.0
Karnataka,-123,-189
Kerala,-107,-269
Madhya Pradesh,-66,3
Maharashtra,-122,-80
Manipur,253.0,42.0
Meghalaya,197.0,57.0
Mizoram,232.0,15.0
Nagaland,269.0,70.0
Odisha,56.0,-58.0
Punjab,-128.0,179.0
Rajasthan,-163.0,85.0
Sikkim,141.0,102.0
Tamil Nadu,-67.0,-263.0
Telangana,-56.0,-113.0
Tripura,205.0,19.0
Uttar Pradesh,-27.0,98.0
Uttarakhand,-48.0,167.0
West Bengal,124.0,-4.0
